train_ids,valid_ids,test_ids
14-267,14-98,14-90
14-96,14-188,14-65
14-26,14-158,14-57
14-133,14-122,14-76
14-87,14-174,14-208
14-277,14-112,14-11
14-220,14-92,14-60
14-85,14-206,14-14
14-29,14-284,14-252
14-117,14-10,14-130
14-219,14-218,14-262
14-244,14-171,14-186
14-211,14-62,14-64
14-167,14-135,14-86
14-233,14-241,14-202
14-75,14-108,14-69
14-272,14-115,14-250
14-53,14-243,14-136
14-111,14-182,14-7
14-103,14-228,14-37
14-153,14-129,14-236
14-118,14-164,14-193
14-30,14-269,14-127
14-59,14-266,14-285
14-268,14-165,14-184
14-9,14-81,14-226
14-239,14-192,14-154
14-114,14-240,14-199
14-274,14-99,14-4
14-276,14-45,14-138
14-173,14-166,14-292
14-101,14-28,14-224
14-132,14-160,14-223
14-91,14-253,14-134
14-24,14-102,14-25
14-270,14-172,14-94
14-21,14-151,14-116
14-156,14-256,14-216
14-120,14-210,14-294
14-246,14-249,14-20
14-161,14-5,14-84
14-88,14-273,14-204
14-229,14-255,14-17
14-232,,14-33
14-18,,14-180
14-217,,14-231
14-242,,14-68
14-32,,14-195
14-0,,14-207
14-66,,14-196
14-63,,14-286
14-137,,14-38
14-258,,14-27
14-289,,14-104
14-67,,14-89
14-185,,14-34
14-175,,14-139
14-280,,
14-155,,
14-35,,
14-227,,
14-222,,
14-58,,
14-194,,
14-251,,
14-282,,
14-225,,
14-46,,
14-197,,
14-61,,
14-159,,
14-93,,
14-205,,
14-113,,
14-13,,
14-263,,
14-150,,
14-190,,
14-214,,
14-44,,
14-283,,
14-31,,
14-278,,
14-36,,
14-51,,
14-78,,
14-168,,
14-8,,
14-107,,
14-2,,
14-73,,
14-74,,
14-79,,
14-119,,
14-293,,
14-80,,
14-187,,
14-55,,
14-100,,
14-183,,
14-287,,
14-230,,
14-163,,
14-162,,
14-279,,
14-179,,
14-259,,
14-77,,
14-191,,
14-5,,
14-177,,
14-131,,
14-181,,
14-260,,
14-50,,
14-152,,
14-201,,
14-295,,
14-275,,
14-41,,
14-56,,
14-123,,
14-213,,
14-128,,
14-281,,
14-39,,
14-200,,
14-109,,
14-71,,
14-54,,
14-254,,
14-105,,
14-257,,
14-212,,
14-124,,
14-9,,
14-126,,
14-238,,
14-47,,
14-169,,
14-4,,
14-209,,
14-265,,
14-237,,
14-40,,
14-1,,
14-271,,
14-245,,
14-234,,
14-15,,
14-261,,
14-42,,
14-70,,
14-176,,
14-198,,
14-48,,
14-3,,
14-110,,
14-106,,
14-248,,
14-97,,
14-49,,
14-178,,
14-82,,
14-23,,
14-189,,
14-215,,
14-121,,
14-235,,
14-291,,
14-221,,
14-290,,
14-6,,
14-247,,
14-157,,
14-125,,
14-6,,
14-170,,
14-22,,
14-72,,
14-203,,
14-1,,
14-288,,
14-83,,
